AÑO,MUNICIPIO,N_SIMPLE,N_EXTORSIVO,TOTAL,Población,Tasa_100k,Total Combatientes,Total de Víctimas del Caso,Asesinatos Selectivos,Victimas Masacre,AGENTE DEL ESTADO,CRIMEN ORGANIZADO,GRUPO ARMADO NO IDENTIFICADO,GRUPO PARAMILITAR,GRUPO POSDESMOVILIZACIÓN,GUERRILLA,Grupo de categoría,num_cai,avg_integrantes,Presencia_Sin conflicto,Presencia_conflicto interrumpido,Presencia_conflicto pacificado,Intensidad_baja intensidad,Categoría_Fuertemente afectados y persistente,Categoría_Levemente afectados e interrumpido,Categoría_Levemente afectados y finalizado,Categoría_Levemente afectados y persistente,Categoría_Sin conflicto,victimas_pc,violencia_estruct,share_guerrilla,cobertura_cai,personal_pc,diff_guerrilla_param,TOTAL_lag1,TOTAL_roll3
1996,SOPETRAN,3,2,5,13817,36.18730549323298,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,41.0,0,1,0,1,0,1,0,0,0,0.002750235217485706,7.6,0.0,7.237461098646595e-05,0.002967359050445104,0.0,0.0,5.0
1996,TAMESIS,0,3,3,19893,15.080681646810437,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,86.0,0,1,0,1,0,1,0,0,0,0.0003016136329362087,2.0,0.0,0.0001005378776454029,0.004323128738752325,0.0,0.0,3.0
1996,TARAZA,1,1,2,18810,10.63264221158958,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2.0,27.0,0,1,0,0,0,0,0,0,0,0.0001594896331738437,1.0,1.0,0.0001063264221158958,0.0014354066985645933,0.5,0.0,2.0
1996,TARAZA,1,1,2,18810,10.63264221158958,1.0,1.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2.0,27.0,0,1,0,0,0,0,0,0,0,0.0027644869750132906,25.5,1.0,0.0001063264221158958,0.0014354066985645933,0.5,2.0,2.0
1996,TURBO,0,2,2,89473,2.23531121120338,39.0,43.0,464.0,19.0,32.0,0.0,0.0,6.0,0.0,34.0,4,8.0,143.0,0,1,0,1,0,1,0,0,0,0.0058788684854648885,241.5,0.8717948717948718,8.94124484481352e-05,0.0015982475160104166,0.6829268292682927,0.0,2.0
1996,URRAO,0,10,10,28599,34.9662575614532,19.0,19.0,69.0,9.0,7.0,0.0,0.0,1.0,0.0,8.0,3,2.0,56.0,0,1,0,0,0,0,0,0,0,0.00339172698346096,7.8,0.42105263157894735,6.99325151229064e-05,0.001958110423441379,0.7,0.0,10.0
1996,VALDIVIA,4,15,19,13552,140.20070838252656,6.0,6.0,32.0,12.0,6.0,0.0,0.0,2.0,0.0,6.0,3,2.0,26.0,0,1,0,0,0,0,0,0,0,0.0036894923258559624,2.3157894736842106,1.0,0.00014757969303423848,0.0019185360094451003,0.4444444444444444,0.0,19.0
1996,VALPARAISO,0,1,1,10117,9.884353069091627,1.0,1.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7,2.0,66.0,1,0,0,1,0,0,0,0,1,0.002075714144509242,20.0,3.0,0.00019768706138183255,0.006523673025600475,0.75,0.0,1.0
1996,VALPARAISO,0,1,1,10117,9.884353069091627,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7,2.0,66.0,1,0,0,1,0,0,0,0,1,0.0003953741227636651,3.0,3.0,0.00019768706138183255,0.006523673025600475,0.75,1.0,1.0
1996,VALPARAISO,0,1,1,10117,9.884353069091627,1.0,1.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7,2.0,66.0,1,0,0,1,0,0,0,0,1,0.0009884353069091628,9.0,3.0,0.00019768706138183255,0.006523673025600475,0.75,1.0,1.0
