FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,TIPO DELITO,CANTIDAD
24/03/1996,70,SUCRE,70429,MAJAGUAL,SECUESTRO EXTORSIVO,1
24/03/1996,70,SUCRE,70429,MAJAGUAL,SECUESTRO EXTORSIVO,1
24/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
24/03/1996,66,RISARALDA,66001,PEREIRA,SECUESTRO EXTORSIVO,1
24/03/1996,76,VALLE DEL CAUCA,76001,CALI,SECUESTRO EXTORSIVO,1
25/03/1996,20,CESAR,20013,AGUSTIN CODAZZI,SECUESTRO EXTORSIVO,1
25/03/1996,20,CESAR,20614,RIO DE ORO,SECUESTRO EXTORSIVO,1
25/03/1996,20,CESAR,20614,RIO DE ORO,SECUESTRO EXTORSIVO,1
25/03/1996,47,MAGDALENA,47001,SANTA MARTA,SECUESTRO EXTORSIVO,1
26/03/1996,76,VALLE DEL CAUCA,76834,TULUA,SECUESTRO EXTORSIVO,1
26/03/1996,20,CESAR,20013,AGUSTIN CODAZZI,SECUESTRO EXTORSIVO,1
26/03/1996,81,ARAUCA,81001,ARAUCA,SECUESTRO EXTORSIVO,1
26/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
27/03/1996,05,ANTIOQUIA,05318,GUARNE,SECUESTRO EXTORSIVO,1
27/03/1996,76,VALLE DEL CAUCA,76001,CALI,SECUESTRO EXTORSIVO,1
27/03/1996,05,ANTIOQUIA,05318,GUARNE,SECUESTRO EXTORSIVO,1
28/03/1996,13,BOLIVAR,13001,CARTAGENA,SECUESTRO EXTORSIVO,1
28/03/1996,13,BOLIVAR,13430,MAGANGUE,SECUESTRO EXTORSIVO,1
28/03/1996,81,ARAUCA,81300,FORTUL,SECUESTRO EXTORSIVO,1
28/03/1996,20,CESAR,20710,SAN ALBERTO,SECUESTRO SIMPLE,1
29/03/1996,41,HUILA,41668,SAN AGUSTIN,SECUESTRO EXTORSIVO,1
29/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
29/03/1996,47,MAGDALENA,47288,FUNDACION,SECUESTRO EXTORSIVO,1
30/03/1996,50,META,50313,GRANADA,SECUESTRO EXTORSIVO,1
30/03/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
30/03/1996,20,CESAR,20710,SAN ALBERTO,SECUESTRO SIMPLE,1
31/03/1996,70,SUCRE,70001,SINCELEJO,SECUESTRO EXTORSIVO,1
31/03/1996,85,CASANARE,85001,YOPAL,SECUESTRO EXTORSIVO,1
01/04/1996,08,ATLANTICO,08001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
01/04/1996,05,ANTIOQUIA,05854,VALDIVIA,SECUESTRO SIMPLE,1
01/04/1996,05,ANTIOQUIA,05854,VALDIVIA,SECUESTRO SIMPLE,1
02/04/1996,66,RISARALDA,66001,PEREIRA,SECUESTRO EXTORSIVO,1
02/04/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
02/04/1996,05,ANTIOQUIA,05197,COCORNA,SECUESTRO EXTORSIVO,1
03/04/1996,68,SANTANDER,68077,BARBOSA,SECUESTRO EXTORSIVO,1
03/04/1996,54,NORTE DE SANTANDER,54003,ABREGO,SECUESTRO EXTORSIVO,1
06/04/1996,05,ANTIOQUIA,05656,SAN JERONIMO,SECUESTRO EXTORSIVO,1
06/04/1996,76,VALLE DEL CAUCA,76001,CALI,SECUESTRO SIMPLE,1
